CitingCountry,Year,Country,AUC,N,STD,zscore,pvalue,significant,NumPub,TopJournal,FracTop,OANumPub,OATopJournal,OAFracTop,normalized_frac_top,logNumPub,FractionNationalAuthors,FracInternationalAuthors,TopicDiversity1,TopicDiversity2,RND_per,PAT_res,PAT_nres,GDP,GDP_PCAP,GNI,GNI_PCAP,NResearchers,Pop,PAT_total,logPop,pub_capita,income_level,polity2,is_democratic,date,cap_sum_index,gov_sum_index,sig_direction,developed,income_group,logzscore,Unnamed: 0,novel_pct10_rate,disruption_mean,disrupt_top10_rate,disrupt_top5_rate,novel_pct10_rate_norm,hit_rate,hit_rate_scinet
CU,2006,CU,0.5423321148396105,291,0.0096877779207068,4.369641334276344,6.2225386005525175e-06,True,2229,648.0,0.2907133243606998,1729611,815088.0,0.4712550972444093,0.6168916284632266,3.3483048630481607,0.7365870543440637,0.2634129456559363,0.9825029705308193,0.9969409053497944,0.441390007734299,2.2121876044039577,1.9731278535996983,10.815637204846094,3.763383935648832,10.812467066974298,3.760213797777037,,11278550.0,2.4099331233312946,7.052253269197261,0.0001976317877741,LM,-7.0,0.0,2006.0,50.3944528776438,-3.983,1.0,0,LM-L,0.8553488544532504,4720,0.1356936879205383,0.0061873515243057,0.2098686318487664,0.0857097084267862,0.7841624740345882,0.0299338670379394,0.0585271317829457
CU,2007,CU,0.5220504671667324,298,0.0083357670672108,2.6452835100766072,0.0040811248901225,True,2319,785.0,0.3385079775765416,1854623,812185.0,0.4379245808986516,0.7729823634971568,3.3654879848909,0.7235718975705844,0.2764281024294156,0.9818276024369934,0.9973346918868476,0.436150014400482,2.322219294733919,1.869231719730976,10.84608364993916,3.7934946591661656,10.838777203229544,3.786188212456549,,11287272.0,2.453318340047037,7.052588990772995,0.0002054526549905,UM,-7.0,0.0,2007.0,49.9782307376245,-4.084,1.0,0,UM,0.7358248602957479,4721,0.1334225792057117,0.0046895206679114,0.2539045069165551,0.0852298081213743,0.7488132246143887,0.0294117647058823,0.0599571734475374
CU,2008,CU,0.5234724421673653,339,0.0078463824741871,2.99149859754917,0.001388059066813,True,2419,660.0,0.2728400165357585,1992167,837352.0,0.4203221918644371,0.6491211309246201,3.383815365980431,0.7294955122253173,0.2705044877746827,0.9833180537066374,0.9976809497775238,0.500609993934631,2.2764618041732443,1.8388490907372552,10.86360457863305,3.8108428628223527,10.822742622581773,3.769980906771076,,11291762.0,2.41161970596323,7.052761715810696,0.0002142269736113,UM,-7.0,0.0,2008.0,50.3767707546555,-3.989,1.0,0,UM,0.7626070170502918,4722,0.1227019498607242,0.0033492888319492,0.2664345403899721,0.0905292479108635,0.6631154949051185,0.0273887332710862,0.0551816958277254
CU,2009,CU,0.5481271372862714,365,0.0077067403187948,6.244811073872701,2.121563352276928e-10,True,2672,741.0,0.2773203592814371,2127412,877259.0,0.4123597121761088,0.6725204987120573,3.426998958756537,0.7430574278781342,0.2569425721218658,0.981152904008608,0.9972801504463968,0.614849984645844,2.2355284469075487,1.7708520116421442,10.86986221834859,3.816986787719696,10.833710768155376,3.780835337526481,,11294719.0,2.3636119798921444,7.052875430628895,0.0002365707371737,UM,-7.0,0.0,2009.0,50.7034821137557,-4.187,1.0,0,UM,0.9562817308552384,4723,0.1200342256447867,0.0060520576649901,0.2542476469869209,0.0955873365114289,0.6409947318645802,0.0275452335943829,0.0578683200472394
CU,2010,CU,0.5261019188097633,399,0.0073265990317885,3.562624172076641,0.0001835830713783,True,3132,797.0,0.2544699872286079,2296309,923518.0,0.4021749686126736,0.6327345237482511,3.4959603948817053,0.7456388495992456,0.2543611504007543,0.9819385366786226,0.9975248829304416,0.6076700091362,,,10.880121255635062,3.827142403835587,10.869337844485656,3.816358992686181,,11297409.0,,7.052978851799476,0.0002772317086156,UM,-7.0,0.0,2010.0,50.6079672479727,-4.219,1.0,0,UM,0.8034688465695999,4724,0.1166329679685005,0.0044142223553975,0.254549324252421,0.0843886346706395,0.6249501199972527,0.026937618147448,0.0556130367304707
CU,2011,CU,0.5163484083692909,426,0.0056596455254401,2.88859227946424,0.0019348523333223,True,3357,1040.0,0.3098004170390229,2479572,965553.0,0.3894030905333662,0.7955777048782244,3.5260806918020298,0.7086137281292059,0.2913862718707941,0.9824143389433724,0.9973942788919694,0.271919995546341,2.2648178230095364,1.792391689498254,10.8921240904247,3.838985272675071,10.87198598793644,3.81884717018681,,11301571.0,2.39093510710338,7.05313881774963,0.0002970383498011,UM,-7.0,0.0,2011.0,50.3008274375845,-4.287,1.0,0,UM,0.7548175409213159,4725,0.1365829145728643,0.0041428628717039,0.2576884422110553,0.0882412060301507,0.6899768460137091,0.0269844839217449,0.058952496954933
CU,2012,CU,0.5195993009348943,383,0.0064910810743281,3.0194201413395474,0.0012662952529674,True,3546,930.0,0.2622673434856176,2595903,1061377.0,0.4088662018573113,0.6414502893470889,3.549861188471943,0.7206727698530977,0.2793272301469023,0.9820134881625304,0.9971978751301116,0.407160013914108,2.146128035678238,1.57978359661681,10.905024136928573,3.851823685365392,10.89297367524082,3.839773223677641,,11303175.0,2.250420002308894,7.053200451563179,0.0003137171635403,UM,-7.0,0.0,2012.0,50.286861018644,-4.231,1.0,0,UM,0.7646966570946283,4726,0.1103647728332866,0.0029795854138058,0.2462916316820599,0.0747271200671704,0.5898727758108654,0.0258326216908625,0.0535635236830455
CU,2013,CU,0.505789360208584,360,0.0073075788721594,0.7922405368268297,0.214110218162118,False,4136,1212.0,0.293036750483559,2758556,1067774.0,0.3870771519592134,0.7570499808638574,3.616685520895512,0.7329481923220276,0.2670518076779724,0.9810952119564652,0.997446573583432,0.474669992923737,2.155336037465062,1.4313637641589874,10.916795834085022,3.863787844261589,10.903942459206585,3.850934469383151,,11298167.0,2.230448921378274,7.053007989823433,0.0003660770813531,UM,-7.0,0.0,2013.0,50.173003045994,-4.289,0.0,0,UM,0.5550688208011094,4727,0.1062979006997667,0.0028396498446538,0.2421692769076974,0.0698933688770409,0.5394446239106425,0.0211452095808383,0.0454094784850287
CU,2014,CU,0.5275681049111849,347,0.0067302302517779,4.09616073742826,2.100291641622633e-05,True,4607,1324.0,0.2873887562405036,2867022,1135028.0,0.3958909279384671,0.7259291283511606,3.663512470415156,0.7245378151260504,0.2754621848739496,0.976850692036567,0.997713134603792,0.415960013866425,2.100370545117563,1.380211241711606,10.92132173661696,3.868790348952696,10.91526570222762,3.862734314563355,,11285775.0,2.1760912590556813,7.052531387664264,0.0004082129937908,UM,-7.0,0.0,2014.0,50.0600217148517,-3.912,1.0,0,UM,0.8384529065562321,4728,0.0964059848835415,0.0025885610989794,0.2420175844516427,0.0636279500231374,0.4808532475135057,0.0173781002193352,0.0458070333633904
CU,2015,CU,0.5078370486366985,368,0.0059667616829646,1.3134509224783797,0.094515524001273,False,5212,1497.0,0.2872217958557175,2877026,1133011.0,0.3938132641137063,0.7293349971391201,3.717087724927019,0.6999704840613932,0.3000295159386068,0.974842802366768,0.997739746958784,0.428539991378784,,,10.94018167024905,3.888062616013024,10.934568134767368,3.882449080531343,,11275065.0,,7.052119054236025,0.0004622589758906,UM,-7.0,0.0,2015.0,50.6447192989061,-3.773,0.0,0,UM,0.613947323124735,4729,0.0805359950775962,0.0024651933782364,0.2662200041020031,0.0568127435564367,0.3906076263512482,0.0163011262596324,0.037511577647422
